"firstName","lastName","birthCountry","orgName","orgCountry"
"Myron","Scholes","Canada","Long Term Capital Management","USA"
"Myron","Scholes","Canada","Long Term Capital Management","United States"
"Lester Bowles","Pearson","Canada","nan","nan"
"William","Vickrey","Canada","Columbia University","USA"
"William","Vickrey","Canada","Columbia University","United States"
"David H.","Hubel","Canada","Harvard Medical School","USA"
"David H.","Hubel","Canada","Harvard Medical School","United States"
"Alice","Munro","Canada","nan","nan"
"James","Peebles","Canada","Princeton University","USA"
"James","Peebles","Canada","Princeton University","United States"
"Pablo","Neruda","Chile","nan","nan"
"Gabriela","Mistral","Chile","nan","nan"
"Walter H.","Brattain","China","Bell Telephone Laboratories","USA"
"Walter H.","Brattain","China","Bell Telephone Laboratories","United States"
"Ei-ichi","Negishi","China","Purdue University","USA"
"Ei-ichi","Negishi","China","Purdue University","United States"
"Xiaobo","Liu","China","nan","nan"
"Xingjian","Gao","China","nan","nan"
"Mo","Yan","China","nan","nan"
"Daniel C.","Tsui","China","Princeton University","USA"
"Daniel C.","Tsui","China","Princeton University","United States"
"Chen Ning","Yang","China","Institute for Advanced Study","USA"
"Chen Ning","Yang","China","Institute for Advanced Study","United States"
"Charles K.","Kao","China","Standard Telecommunication Laboratories","United Kingdom"
"Edmond H.","Fischer","China","University of Washington","USA"
"Edmond H.","Fischer","China","University of Washington","United States"
"Tsung-Dao","Lee","China","Columbia University","USA"
"Tsung-Dao","Lee","China","Columbia University","United States"
"Gabriel","García Márquez","Colombia","nan","nan"
"Juan Manuel","Santos","Colombia","nan","nan"
"Oscar","Arias Sánchez","Costa Rica","nan","nan"
"Odysseus","Elytis","Crete (now Greece)","nan","nan"
"Christopher A.","Pissarides","Cyprus","London School of Economics and Political Science","United Kingdom"
"Peter","Grünberg","Czechoslovakia (now Czech Republic)","Forschungszentrum J&uuml;lich","Germany"
"Johannes V.","Jensen","Denmark","nan","nan"
"Henrik","Pontoppidan","Denmark","nan","nan"
"Sigrid","Undset","Denmark","nan","nan"
"Fredrik","Bajer","Denmark","nan","nan"
"Karl","Gjellerup","Denmark","nan","nan"
"Rudolf","Eucken","East Friesland (now Germany)","nan","nan"
"José","Ramos-Horta","East Timor","nan","nan"
"Carlos Filipe Ximenes","Belo","East Timor","nan","nan"
"Dorothy Crowfoot","Hodgkin","Egypt","University of Oxford Royal Society","United Kingdom"
"Mohamed","ElBaradei","Egypt","nan","nan"
"Naguib","Mahfouz","Egypt","nan","nan"
"Yasser","Arafat","Egypt","nan","nan"
"Ahmed","Zewail","Egypt","California Institute of Technology (Caltech)","USA"
"Ahmed","Zewail","Egypt","California Institute of Technology (Caltech)","United States"
"Anwar","al-Sadat","Egypt","nan","nan"
"Abiy","Ahmed Ali","Ethiopia","nan","nan"
"Niels Ryberg","Finsen","Faroe Islands (Denmark)","Finsen Medical Light Institute","Denmark"
"Bengt","Holmström","Finland","Massachusetts Institute of Technology (MIT)","USA"
"Bengt","Holmström","Finland","Massachusetts Institute of Technology (MIT)","United States"
"Martti","Ahtisaari","Finland","nan","nan"
"André","Lwoff","France","Institut Pasteur","Tunisia"
"René","Cassin","France","nan","nan"
"François","Mauriac","France","nan","nan"
"Gerard","Debreu","France","University of California","USA"
"Gerard","Debreu","France","University of California","United States"
"Romain","Rolland","France","nan","nan"
"Roger","Guillemin","France","The Salk Institute","USA"
"Roger","Guillemin","France","The Salk Institute","United States"
"Emmanuelle","Charpentier","France","Max Planck Unit for the Science of Pathogens","Germany"
"Paul Henri","d'Estournelles de Constant","France","nan","nan"
"Annie","Ernaux","France","nan","nan"
"Frédéric","Mistral","France","nan","nan"
"Alfred","Werner","France","University of Zurich","Switzerland"
"François","Jacob","France","Institut Pasteur","Tunisia"
"Aristide","Briand","France","nan","nan"
"Roger","Martin du Gard","France","nan","nan"
"Jean-Marie Gustave","Le Clézio","France","nan","nan"
"Alphonse","Laveran","France","Institut Pasteur","Tunisia"
"Anatole","France","France","nan","nan"
"André","Gide","France","nan","nan"
"André F.","Cournand","France","Columbia University Division Cardio-Pulmonary Laboratory Bellevue Hospital","USA"
"André F.","Cournand","France","Columbia University Division Cardio-Pulmonary Laboratory Bellevue Hospital","United States"
"Anne","L’Huillier","France","Lund University","Sweden"
"Esther","Duflo","France","Massachusetts Institute of Technology (MIT)","USA"
"Esther","Duflo","France","Massachusetts Institute of Technology (MIT)","United States"
"Ferdinand","Buisson","France","nan","nan"
"Frédéric","Passy","France","nan","nan"
"Henri","Bergson","France","nan","nan"
"Jacques","Monod","France","Institut Pasteur","Tunisia"
"Jean-Paul","Sartre","France","nan","nan"
"Luis","Leloir","France","Institute for Biochemical Research","Argentina"
