"firstName","lastName","birthCountry","orgName","orgCountry"
"Leonid Vitaliyevich","Kantorovich","Russian Empire (now Russia)","Academy of Sciences","USSR (now Russia)"
"Ilya","Mechnikov","Russian Empire (now Ukraine)","Institut Pasteur","France"
"Ilya","Mechnikov","Russian Empire (now Ukraine)","Institut Pasteur","Tunisia"
"Selman A.","Waksman","Russian Empire (now Ukraine)","Rutgers University","USA"
"Selman A.","Waksman","Russian Empire (now Ukraine)","Rutgers University","United States"
"Derek","Walcott","Saint Lucia","nan","nan"
"Theodor","Mommsen","Schleswig (now Germany)","nan","nan"
"Max","Planck","Schleswig (now Germany)","Berlin University","Germany"
"John","Macleod","Scotland","University of Toronto","Canada"
"Angus","Deaton","Scotland","Princeton University","USA"
"Angus","Deaton","Scotland","Princeton University","United States"
"Richard","Henderson","Scotland","MRC Laboratory of Molecular Biology","United Kingdom"
"Arthur","Henderson","Scotland","nan","nan"
"Lord","Todd","Scotland","University of Cambridge","United Kingdom"
"Sir William","Ramsay","Scotland","University College","United Kingdom"
"C.T.R.","Wilson","Scotland","University of Cambridge","United Kingdom"
"John","Boyd Orr","Scotland","nan","nan"
"Sir Alexander","Fleming","Scotland","London University","United Kingdom"
"James A.","Mirrlees","Scotland","University of Cambridge","United Kingdom"
"Sir James W.","Black","Scotland","London University King's College Hospital Medical School","United Kingdom"
"J. M.","Coetzee","South Africa","nan","nan"
"Sydney","Brenner","South Africa","The Molecular Sciences Institute","USA"
"Sydney","Brenner","South Africa","The Molecular Sciences Institute","United States"
"Allan M.","Cormack","South Africa","Tufts University","USA"
"Allan M.","Cormack","South Africa","Tufts University","United States"
"F.W.","de Klerk","South Africa","nan","nan"
"Desmond","Tutu","South Africa","nan","nan"
"Nelson","Mandela","South Africa","nan","nan"
"Max","Theiler","South Africa","Laboratories of the Division of Medicine and Public Health Rockefeller Foundation","USA"
"Max","Theiler","South Africa","Laboratories of the Division of Medicine and Public Health Rockefeller Foundation","United States"
"Michael","Levitt","South Africa","Stanford University School of Medicine","USA"
"Michael","Levitt","South Africa","Stanford University School of Medicine","United States"
"Nadine","Gordimer","South Africa","nan","nan"
"Kang","Han","South Korea","nan","nan"
"Albert","Lutuli","Southern Rhodesia (now Zimbabwe)","nan","nan"
"Camilo José","Cela","Spain","nan","nan"
"Severo","Ochoa","Spain","New York University College of Medicine","USA"
"Severo","Ochoa","Spain","New York University College of Medicine","United States"
"Jacinto","Benavente","Spain","nan","nan"
"José","Echegaray","Spain","nan","nan"
"Juan Ramón","Jiménez","Spain","nan","nan"
"Vicente","Aleixandre","Spain","nan","nan"
"Klas Pontus","Arnoldson","Sweden","nan","nan"
"Harry","Martinson","Sweden","nan","nan"
"Dag","Hammarskjöld","Sweden","nan","nan"
"Erik Axel","Karlfeldt","Sweden","nan","nan"
"Selma","Lagerlöf","Sweden","nan","nan"
"Verner","von Heidenstam","Sweden","nan","nan"
"Gunnar","Myrdal","Sweden","nan","nan"
"Hjalmar","Branting","Sweden","nan","nan"
"Svante","Pääbo","Sweden","Max Planck Institute for Evolutionary Anthropology","Germany"
"Tomas","Lindahl","Sweden","Francis Crick Institute","United Kingdom"
"Tomas","Tranströmer","Sweden","nan","nan"
"Eyvind","Johnson","Sweden","nan","nan"
"Nathan","Söderblom","Sweden","nan","nan"
"Alva","Myrdal","Sweden","nan","nan"
"Torsten N.","Wiesel","Sweden","Harvard Medical School","USA"
"Torsten N.","Wiesel","Sweden","Harvard Medical School","United States"
"Pär","Lagerkvist","Sweden","nan","nan"
"Charles Edouard","Guillaume","Switzerland","Bureau International des Poids et Mesures (International Bureau of Weights and Measures)","France"
"Henry","Dunant","Switzerland","nan","nan"
"Élie","Ducommun","Switzerland","nan","nan"
"Carl","Spitteler","Switzerland","nan","nan"
"Daniel","Bovet","Switzerland","Istituto Superiore di Sanità (Chief Institute of Public Health)","Italy"
"Albert","Gobat","Switzerland","nan","nan"
"Felix","Bloch","Switzerland","Stanford University","USA"
"Felix","Bloch","Switzerland","Stanford University","United States"
"Yuan T.","Lee","Taiwan","University of California","USA"
"Yuan T.","Lee","Taiwan","University of California","United States"
"Lhamo","Thondup","Tibet (now China)","nan","nan"
"V. S.","Naipaul","Trinidad and Tobago","nan","nan"
"Daron","Acemoglu","Turkey","Massachusetts Institute of Technology (MIT)","USA"
"Daron","Acemoglu","Turkey","Massachusetts Institute of Technology (MIT)","United States"
"Orhan","Pamuk","Turkey","nan","nan"
"Aziz","Sancar","Turkey","University of North Carolina","USA"
"Aziz","Sancar","Turkey","University of North Carolina","United States"
"Giosuè","Carducci","Tuscany (now Italy)","nan","nan"
"Douglas D.","Osheroff","USA","Stanford University","United States"
"Richard E.","Smalley","USA","Rice University","United States"
"William D.","Nordhaus","USA","Yale University","United States"
"James P.","Allison","USA","Parker Institute for Cancer Immunotherapy","United States"
"Robert F.","Curl Jr.","USA","Rice University","United States"
"Eric","Betzig","USA","Janelia Research Campus Howard Hughes Medical Institute","United States"
"Samuel C.C.","Ting","USA","Massachusetts Institute of Technology (MIT)","United States"
"Thomas H.","Weller","USA","Research Division of Infectious Diseases Children's Medical Center","United States"
"Theodore W.","Schultz","USA","University of Chicago","United States"
"George H.","Whipple","USA","University of Rochester","United States"
"Martin Luther","King Jr.","USA","nan","nan"
"Frederick C.","Robbins","USA","Western Reserve University","United States"
"Ben","Bernanke","USA","The Brookings Institution","United States"
"Martin","Rodbell","USA","National Institute of Environmental Health Sciences","United States"
"Peyton","Rous","USA","Rockefeller University","United States"
"Gary","Ruvkun","USA","Massachusetts General Hospital","United States"
"Richard R.","Schrock","USA","Massachusetts Institute of Technology (MIT)","United States"
"Clinton","Davisson","USA","Bell Telephone Laboratories","United States"
"Keffer","Hartline","USA","Rockefeller University","United States"
"John F.","Nash Jr.","USA","Princeton University","United States"
"Carolyn","Bertozzi","USA","Stanford University","United States"
"Eugene F.","Fama","USA","University of Chicago","United States"
"George R.","Minot","USA","Harvard University","United States"
"Henry W.","Kendall","USA","Massachusetts Institute of Technology (MIT)","United States"
"Merton H.","Miller","USA","University of Chicago","United States"
"Robert B.","Woodward","USA","Harvard University","United States"
"Roger B.","Myerson","USA","University of Chicago","United States"
"Walter","Gilbert","USA","Harvard University Biological Laboratories","United States"
"William F.","Sharpe","USA","Stanford University","United States"
"Edward","Tatum","USA","Rockefeller Institute for Medical Research","United States"
"George D.","Snell","USA","Jackson Laboratory","United States"
"Arthur","Kornberg","USA","Stanford University","United States"
"Burton","Richter","USA","Stanford Linear Accelerator Center","United States"
"Irving","Langmuir","USA","General Electric Company","United States"
"Irwin","Rose","USA","University of California","United States"
"Louis J.","Ignarro","USA","University of California School of Medicine","United States"
"Milton","Friedman","USA","University of Chicago","United States"
"Robert M.","Solow","USA","Massachusetts Institute of Technology (MIT)","United States"
"Stanley","Cohen","USA","Vanderbilt University School of Medicine","United States"
"Earl W.","Sutherland Jr.","USA","Vanderbilt University","United States"
"Roderick","MacKinnon","USA","Rockefeller University","United States"
"Douglass C.","North","USA","Washington University","United States"
"Lloyd S.","Shapley","USA","University of California","United States"
"Percy W.","Bridgman","USA","Harvard University","United States"
"James B.","Sumner","USA","Cornell University","United States"
"Ernest","Lawrence","USA","University of California","United States"
"Jane","Addams","USA","nan","nan"
"Saul","Perlmutter","USA","Lawrence Berkeley National Laboratory","United States"
"James","Tobin","USA","Yale University","United States"
"Robert F.","Furchgott","USA","SUNY Health Science Center","United States"
"Donald J.","Cram","USA","University of California","United States"
"Ben R.","Mottelson","USA","Nordita","Denmark"
"Bruce A.","Beutler","USA","University of Texas Southwestern Medical Center at Dallas","United States"
"Douglas","Diamond","USA","University of Chicago","United States"
"H. Robert","Horvitz","USA","Massachusetts Institute of Technology (MIT)","United States"
"Harry M.","Markowitz","USA","City University of New York","United States"
"James","Cronin","USA","University of Chicago","United States"
"James","Watson","USA","Harvard University","United States"
"James J.","Heckman","USA","University of Chicago","United States"
"Jerome I.","Friedman","USA","Massachusetts Institute of Technology (MIT)","United States"
"John","Hopfield","USA","Princeton University","United States"
"Martin","Chalfie","USA","Columbia University","United States"
"Stanford","Moore","USA","Rockefeller University","United States"
"Thomas R.","Cech","USA","University of Colorado","United States"
"Vincent","du Vigneaud","USA","Cornell University","United States"
"Donald A.","Glaser","USA","University of California","United States"
"Louis","Brus","USA","Columbia University","United States"
"William","Lipscomb","USA","Harvard University","United States"
"Elihu","Root","USA","nan","nan"
"Joshua","Angrist","USA","Massachusetts Institute of Technology (MIT)","United States"
"Carl","Wieman","USA","University of Colorado JILA","United States"
"James","Rainwater","USA","Columbia University","United States"
"Norman","Borlaug","USA","nan","nan"
"F. Sherwood","Rowland","USA","University of California","United States"
"John L.","Hall","USA","University of Colorado JILA","United States"
"Paul M.","Romer","USA","NYU Stern School of Business","United States"
"Stanley B.","Prusiner","USA","University of California School of Medicine","United States"
"Paul","Milgrom","USA","Stanford University","United States"
"Ralph","Bunche","USA","Harvard University","United States"
"Robert J.","Shiller","USA","Yale University","United States"
"Bob","Dylan","USA","nan","nan"
"Richard H.","Thaler","USA","University of Chicago","United States"
"Nicholas Murray","Butler","USA","Columbia University","United States"
"Dale T.","Mortensen","USA","Northwestern University","United States"
"Edmund S.","Phelps","USA","Columbia University","United States"
"Phillip A.","Sharp","USA","Massachusetts Institute of Technology (MIT) Center for Cancer Research","United States"
"Bruce","Merrifield","USA","Rockefeller University","United States"
"Philip","Dybvig","USA","Washington University","United States"
"Joseph E.","Stiglitz","USA","Columbia University","United States"
"Paul A.","Samuelson","USA","Massachusetts Institute of Technology (MIT)","United States"
"Robert","Wilson","USA","Stanford University","United States"
"Theodore W.","Richards","USA","Harvard University","United States"
"Edward C.","Prescott","USA","Arizona State University","United States"
"Willard F.","Libby","USA","University of California","United States"
"Charles H.","Townes","USA","Massachusetts Institute of Technology (MIT)","United States"
"Victor","Ambros","USA","UMass Chan Medical School","United States"
"Barbara","McClintock","USA","Cold Spring Harbor Laboratory","United States"
"Roger W.","Sperry","USA","California Institute of Technology (Caltech)","United States"
"James E.","Rothman","USA","Yale University","United States"
"Pearl","Buck","USA","nan","nan"
"Barack","Obama","USA","nan","nan"
"George H.","Hitchings","USA","Wellcome Research Laboratories","United States"
"Robert Woodrow","Wilson","USA","Bell Laboratories","United States"
"Edward A.","Doisy","USA","Saint Louis University","United States"
"Philip W.","Anderson","USA","Bell Telephone Laboratories","United States"
"Glenn T.","Seaborg","USA","University of California","United States"
"Emily Greene","Balch","USA","nan","nan"
"Jack","Kilby","USA","Texas Instruments","United States"
"Michael","Rosbash","USA","Brandeis University","United States"
"Edwin G.","Krebs","USA","University of Washington","United States"
"Kary B.","Mullis","USA","nan","nan"
"Thomas H.","Morgan","USA","California Institute of Technology (Caltech)","United States"
"Drew","Weissman","USA","Penn Institute for RNA Innovations University of Pennsylvania","United States"
"Brian","Kobilka","USA","Stanford University School of Medicine","United States"
"John","Jumper","USA","Google DeepMind","United Kingdom"
"John R.","Mott","USA","nan","nan"
"Kip S.","Thorne","USA","LIGO/VIRGO Collaboration","nan"
"Toni","Morrison","USA","nan","nan"
"Elinor","Ostrom","USA","Indiana University","United States"
"Leland","Hartwell","USA","Fred Hutchinson Cancer Research Center","United States"
"Willis E.","Lamb","USA","Stanford University","United States"
"John","Bardeen","USA","University of Illinois","United States"
"Charles G.","Dawes","USA","nan","nan"
"E. Donnall","Thomas","USA","Fred Hutchinson Cancer Research Center","United States"
"Val","Fitch","USA","Princeton University","United States"
"Elias James","Corey","USA","Harvard University","United States"
"Michael W.","Young","USA","Rockefeller University","United States"
"John H.","Van Vleck","USA","Harvard University","United States"
"Joseph E.","Murray","USA","Brigham and Women's Hospital","United States"
"David J.","Wineland","USA","National Institute of Standards and Technology","United States"
"Herbert","Simon","USA","Carnegie Mellon University","United States"
"Thomas A.","Steitz","USA","Yale University","United States"
"Brian P.","Schmidt","USA","Australian National University","Australia"
"Christian","Anfinsen","USA","National Institutes of Health","United States"
"A. Michael","Spence","USA","Stanford University","United States"
"Joshua","Lederberg","USA","University of Wisconsin","United States"
"Robert A.","Millikan","USA","California Institute of Technology (Caltech)","United States"
"Arthur L.","Schawlow","USA","Stanford University","United States"
"James M.","Buchanan Jr.","USA","Center for Study of Public Choice","United States"
"William","Faulkner","USA","nan","nan"
"Alfred G.","Gilman","USA","University of Texas Southwestern Medical Center at Dallas","United States"
"Craig C.","Mello","USA","University of Massachusetts Medical School","United States"
"George A.","Akerlof","USA","University of California","United States"
"Alvin E.","Roth","USA","Harvard University","United States"
"Andrea","Ghez","USA","University of California","United States"
"Arthur","Ashkin","USA","Bell Laboratories","United States"
"Baruch S.","Blumberg","USA","The Institute for Cancer Research","United States"
"Carl D.","Anderson","USA","California Institute of Technology (Caltech)","United States"
"Claudia","Goldin","USA","Harvard University","United States"
"David","Baltimore","USA","Massachusetts Institute of Technology (MIT)","United States"
"David","Julius","USA","University of California","United States"
"Eric S.","Maskin","USA","Institute for Advanced Study","United States"
"Eugene","O'Neill","USA","nan","nan"
"Frank","Wilczek","USA","Massachusetts Institute of Technology (MIT)","United States"
"George","Wald","USA","Harvard University","United States"
"Gerald M.","Edelman","USA","Rockefeller University","United States"
"Gertrude B.","Elion","USA","Wellcome Research Laboratories","United States"
"Gregg","Semenza","USA","Johns Hopkins University","United States"
"H. David","Politzer","USA","California Institute of Technology (Caltech)","United States"
"Hamilton O.","Smith","USA","Johns Hopkins University School of Medicine","United States"
"Harvey","Alter","USA","National Institutes of Health","United States"
"Herbert A.","Hauptman","USA","The Medical Foundation of Buffalo","United States"
"Hermann J.","Muller","USA","Indiana University","United States"
"Jeffrey C.","Hall","USA","University of Maine","United States"
"Jerome","Karle","USA","US Naval Research Laboratory","United States"
"John","O'Keefe","USA","University College","United Kingdom"
"John B.","Fenn","USA","Virginia Commonwealth University","United States"
"Julian","Schwinger","USA","Harvard University","United States"
"Julius","Axelrod","USA","National Institutes of Health","United States"
"Kenneth J.","Arrow","USA","Harvard University","United States"
"Leon M.","Lederman","USA","Fermi National Accelerator Laboratory","United States"
"Leon N.","Cooper","USA","Brown University","United States"
"Louise","Glück","USA","nan","nan"
"Marshall W.","Nirenberg","USA","National Institutes of Health","United States"
"Martin L.","Perl","USA","Stanford University","United States"
"Melvin","Schwartz","USA","Digital Pathways Inc.","United States"
"Michael","Kremer","USA","Harvard University","United States"
"Michael S.","Brown","USA","University of Texas Southwestern Medical Center at Dallas","United States"
"Murray","Gell-Mann","USA","California Institute of Technology (Caltech)","United States"
"Paul","Berg","USA","Stanford University","United States"
"Paul","Greengard","USA","Rockefeller University","United States"
"Paul","Krugman","USA","Princeton University","United States"
"Peter A.","Diamond","USA","Massachusetts Institute of Technology (MIT)","United States"
"Richard","Axel","USA","Columbia University","United States"
"Richard P.","Feynman","USA","California Institute of Technology (Caltech)","United States"
"Robert","Hofstadter","USA","Stanford University","United States"
"Robert C.","Merton","USA","Harvard University","United States"
"Robert J.","Lefkowitz","USA","Howard Hughes Medical Institute","United States"
"Robert W.","Fogel","USA","University of Chicago","United States"
"Roger Y.","Tsien","USA","University of California","United States"
"Rosalyn","Yalow","USA","Veterans Administration Hospital","United States"
"Roy J.","Glauber","USA","Harvard University","United States"
"Russell A.","Hulse","USA","Princeton University","United States"
"Sheldon","Glashow","USA","Harvard University Lyman Laboratory","United States"
"Steven","Weinberg","USA","Harvard University","United States"
"Theodore","Roosevelt","USA","nan","nan"
"William","Kaelin","USA","Harvard Medical School","United States"
"William H.","Stein","USA","Rockefeller University","United States"
"Robert S.","Mulliken","USA","University of Chicago","United States"
"Peter","Agre","USA","Johns Hopkins University School of Medicine","United States"
"George P.","Smith","USA","University of Missouri","United States"
"Ernest","Hemingway","USA","nan","nan"
"Robert","Schrieffer","USA","University of Pennsylvania","United States"
"Thomas C.","Schelling","USA","University of Maryland Department of Economics and School of Public Policy","United States"
"Harold E.","Varmus","USA","University of California School of Medicine","United States"
"Cordell","Hull","USA","nan","nan"
"Barry C.","Barish","USA","LIGO/VIRGO Collaboration","nan"
"Lawrence R.","Klein","USA","University of Pennsylvania","United States"
"Dickinson W.","Richards","USA","Columbia University","United States"
"Alfred D.","Hershey","USA","Carnegie Institution of Washington","United States"
"Eric","Cornell","USA","University of Colorado JILA","United States"
"John","Clauser","USA","J.F. Clauser & Assoc.","United States"
"Thomas J.","Sargent","USA","New York University","United States"
"Frederick","Reines","USA","University of California","United States"
"Barry","Sharpless","USA","Scripps Research","United States"
"Barry","Sharpless","USA","The Scripps Research Institute","United States"
"Howard M.","Temin","USA","University of Wisconsin","United States"
"Joseph H.","Taylor Jr.","USA","Princeton University","United States"
"Clifford G.","Shull","USA","Massachusetts Institute of Technology (MIT)","United States"
"Frances H.","Arnold","USA","California Institute of Technology (Caltech)","United States"
"Philip S.","Hench","USA","Mayo Clinic","United States"
"William A.","Fowler","USA","California Institute of Technology (Caltech)","United States"
"Jimmy","Carter","USA","nan","nan"
"Herbert S.","Gasser","USA","Rockefeller Institute for Medical Research","United States"
"William E.","Moerner","USA","Stanford University","United States"
"Linus","Pauling","USA","California Institute of Technology (Caltech)","United States"
"Robert H.","Grubbs","USA","California Institute of Technology (Caltech)","United States"
"Frank B.","Kellogg","USA","nan","nan"
"Gary","Becker","USA","University of Chicago","United States"
"Paul D.","Boyer","USA","University of California","United States"
"Daniel L.","McFadden","USA","University of California","United States"
"Paul","Modrich","USA","Howard Hughes Medical Institute","United States"
"Edwin M.","McMillan","USA","University of California","United States"
"George J.","Stigler","USA","University of Chicago","United States"
"Wendell M.","Stanley","USA","Rockefeller Institute for Medical Research","United States"
"John C.","Mather","USA","NASA Goddard Space Flight Center","United States"
"Jody","Williams","USA","nan","nan"
"David M.","Lee","USA","Cornell University","United States"
"Charles","Rice","USA","Rockefeller University","United States"
"John","Steinbeck","USA","nan","nan"
"Carol W.","Greider","USA","Johns Hopkins University School of Medicine","United States"
"Joseph","Erlanger","USA","Washington University","United States"
"Luis","Alvarez","USA","University of California","United States"
"Owen","Chamberlain","USA","University of California","United States"
"Dudley R.","Herschbach","USA","Harvard University","United States"
"Sinclair","Lewis","USA","nan","nan"
"David","Baker","USA","University of Washington","United States"
"Linda B.","Buck","USA","Fred Hutchinson Cancer Research Center","United States"
"Paul C.","Lauterbur","USA","University of Illinois","United States"
"Alan","Heeger","USA","University of California","United States"
"Eric F.","Wieschaus","USA","Princeton University","United States"
"Edward C.","Kendall","USA","Mayo Clinic","United States"
"Richard F.","Heck","USA","University of Delaware","United States"
"Roger D.","Kornberg","USA","Stanford University","United States"
"Steven","Chu","USA","Stanford University","United States"
"T.S.","Eliot","USA","nan","nan"
"Melvin","Calvin","USA","University of California","United States"
"Randy W.","Schekman","USA","University of California","United States"
"Andrew Z.","Fire","USA","Stanford University School of Medicine","United States"
"Woodrow","Wilson","USA","nan","nan"
"Paul J.","Flory","USA","Stanford University","United States"
"William P.","Murphy","USA","Harvard University","United States"
"Joseph L.","Goldstein","USA","University of Texas Southwestern Medical Center at Dallas","United States"
"Oliver E.","Williamson","USA","University of California","United States"
"Robert F.","Engle III","USA","New York University","United States"
"William","Knowles","USA","nan","nan"
"E. M.","Purcell","USA","Harvard University","United States"
"George C.","Marshall","USA","nan","nan"
"Lars Peter","Hansen","USA","University of Chicago","United States"
"Robert W.","Holley","USA","Cornell University","United States"
"Robert B.","Laughlin","USA","Stanford University","United States"
"George","Beadle","USA","California Institute of Technology (Caltech)","United States"
"Harold C.","Urey","USA","Columbia University","United States"
"Kenneth G.","Wilson","USA","Cornell University","United States"
"Adam G.","Riess","USA","Johns Hopkins University","United States"
"Al","Gore","USA","nan","nan"
"Christopher A.","Sims","USA","Princeton University","United States"
"David J.","Gross","USA","University of California Kavli Institute for Theoretical Physics","United States"
"Jennifer A.","Doudna","USA","University of California","United States"
"Norman F.","Ramsey","USA","Harvard University","United States"
"Raymond","Davis Jr.","USA","University of Pennsylvania","United States"
"Robert C.","Richardson","USA","Cornell University","United States"
"John F.","Enders","USA","Harvard Medical School","United States"
"George E.","Smith","USA","Bell Laboratories","United States"
"Ferid","Murad","USA","University of Texas Medical School at Houston","United States"
"Vernon L.","Smith","USA","George Mason University","United States"
"Edward B.","Lewis","USA","California Institute of Technology (Caltech)","United States"
"William D.","Phillips","USA","National Institute of Standards and Technology","United States"
"Daniel","Nathans","USA","Johns Hopkins University School of Medicine","United States"
"Arthur H.","Compton","USA","University of Chicago","United States"
"Robert E.","Lucas Jr.","USA","University of Chicago","United States"
"D. Carleton","Gajdusek","USA","National Institutes of Health","United States"
"John H.","Northrop","USA","Rockefeller Institute for Medical Research","United States"
"J. Michael","Bishop","USA","University of California School of Medicine","United States"
"George F.","Smoot","USA","University of California","United States"
"Zhores","Alferov","USSR (now Belarus)","A.F. Ioffe Physico-Technical Institute","Russia"
"Dmitry","Muratov","USSR (now Russia)","nan","nan"
"Aleksey","Yekimov","USSR (now Russia)","Nanocrystals Technology Inc.","USA"
"Aleksey","Yekimov","USSR (now Russia)","Nanocrystals Technology Inc.","United States"
"Joseph","Brodsky","USSR (now Russia)","nan","nan"
"Alexei","Abrikosov","USSR (now Russia)","Argonne National Laboratory","USA"
"Alexei","Abrikosov","USSR (now Russia)","Argonne National Laboratory","United States"
"Mikhail","Gorbachev","USSR (now Russia)","nan","nan"
"Nicolay G.","Basov","USSR (now Russia)","P.N. Lebedev Physical Institute","Russia"
"Svetlana","Alexievich","Ukraine","nan","nan"
"J. Michael","Kosterlitz","United Kingdom","Brown University","USA"
"J. Michael","Kosterlitz","United Kingdom","Brown University","United States"
"David J.","Thouless","United Kingdom","University of Washington","USA"
"David J.","Thouless","United Kingdom","University of Washington","United States"
"David","MacMillan","United Kingdom","Princeton University","USA"
"David","MacMillan","United Kingdom","Princeton University","United States"
"Sir Austen","Chamberlain","United Kingdom","nan","nan"
"Michael","Smith","United Kingdom","University of British Columbia","Canada"
"John","Pople","United Kingdom","Northwestern University","USA"
"John","Pople","United Kingdom","Northwestern University","United States"
"Richard J.","Roberts","United Kingdom","New England Biolabs","USA"
"Richard J.","Roberts","United Kingdom","New England Biolabs","United States"
"Sir J. Fraser","Stoddart","United Kingdom","Northwestern University","USA"
"Sir J. Fraser","Stoddart","United Kingdom","Northwestern University","United States"
"Randal","Cremer","United Kingdom","nan","nan"
"Oliver","Smithies","United Kingdom","University of North Carolina","USA"
"Oliver","Smithies","United Kingdom","University of North Carolina","United States"
"Sir Norman","Angell","United Kingdom","nan","nan"
"John","Galsworthy","United Kingdom","nan","nan"
"Anthony J.","Leggett","United Kingdom","University of Illinois","USA"
"Anthony J.","Leggett","United Kingdom","University of Illinois","United States"
"F. Duncan M.","Haldane","United Kingdom","Princeton University","USA"
"F. Duncan M.","Haldane","United Kingdom","Princeton University","United States"
"Geoffrey","Hinton","United Kingdom","University of Toronto","Canada"
"Harold","Pinter","United Kingdom","nan","nan"
"Herbert C.","Brown","United Kingdom","Purdue University","USA"
"Herbert C.","Brown","United Kingdom","Purdue University","United States"
"Jack W.","Szostak","United Kingdom","Harvard Medical School","USA"
"Jack W.","Szostak","United Kingdom","Harvard Medical School","United States"
"Niels K.","Jerne","United Kingdom","Basel Institute for Immunology","Switzerland"
"Oliver","Hart","United Kingdom","Harvard University","USA"
"Oliver","Hart","United Kingdom","Harvard University","United States"
"Patrick","White","United Kingdom","nan","nan"
"Philip","Noel-Baker","United Kingdom","nan","nan"
"Robert","Cecil","United Kingdom","nan","nan"
"William B.","Shockley","United Kingdom","Semiconductor Laboratory of Beckman Instruments Inc.","USA"
"William B.","Shockley","United Kingdom","Semiconductor Laboratory of Beckman Instruments Inc.","United States"
"William","Golding","United Kingdom","nan","nan"
"Simon","Johnson","United Kingdom","Massachusetts Institute of Technology (MIT)","USA"
"Simon","Johnson","United Kingdom","Massachusetts Institute of Technology (MIT)","United States"
"Clive W.J.","Granger","United Kingdom","University of California","USA"
"Clive W.J.","Granger","United Kingdom","University of California","United States"
"Christian","de Duve","United Kingdom","Rockefeller University","USA"
"Christian","de Duve","United Kingdom","Rockefeller University","United States"
"Bertrand","Russell","United Kingdom","nan","nan"
"Ronald H.","Coase","United Kingdom","University of Chicago","USA"
"Ronald H.","Coase","United Kingdom","University of Chicago","United States"
"Winston","Churchill","United Kingdom","nan","nan"
"M. Stanley","Whittingham","United Kingdom","Binghamton University State University of New York","USA"
"M. Stanley","Whittingham","United Kingdom","Binghamton University State University of New York","United States"
"Michael","Houghton","United Kingdom","University of Alberta","Canada"
"Douglas D.","Osheroff","United States","Stanford University","USA"
"Richard E.","Smalley","United States","Rice University","USA"
"William D.","Nordhaus","United States","Yale University","USA"
"James P.","Allison","United States","Parker Institute for Cancer Immunotherapy","USA"
"Robert F.","Curl Jr.","United States","Rice University","USA"
"Eric","Betzig","United States","Janelia Research Campus Howard Hughes Medical Institute","USA"
"Samuel C.C.","Ting","United States","Massachusetts Institute of Technology (MIT)","USA"
"Thomas H.","Weller","United States","Research Division of Infectious Diseases Children's Medical Center","USA"
"Theodore W.","Schultz","United States","University of Chicago","USA"
"George H.","Whipple","United States","University of Rochester","USA"
"Martin Luther","King Jr.","United States","nan","nan"
"Frederick C.","Robbins","United States","Western Reserve University","USA"
"Ben","Bernanke","United States","The Brookings Institution","USA"
"Martin","Rodbell","United States","National Institute of Environmental Health Sciences","USA"
"Peyton","Rous","United States","Rockefeller University","USA"
"Gary","Ruvkun","United States","Massachusetts General Hospital","USA"
"Richard R.","Schrock","United States","Massachusetts Institute of Technology (MIT)","USA"
"Clinton","Davisson","United States","Bell Telephone Laboratories","USA"
"Keffer","Hartline","United States","Rockefeller University","USA"
"John F.","Nash Jr.","United States","Princeton University","USA"
"Carolyn","Bertozzi","United States","Stanford University","USA"
"Eugene F.","Fama","United States","University of Chicago","USA"
"George R.","Minot","United States","Harvard University","USA"
"Henry W.","Kendall","United States","Massachusetts Institute of Technology (MIT)","USA"
"Merton H.","Miller","United States","University of Chicago","USA"
"Robert B.","Woodward","United States","Harvard University","USA"
"Roger B.","Myerson","United States","University of Chicago","USA"
"Walter","Gilbert","United States","Harvard University Biological Laboratories","USA"
"William F.","Sharpe","United States","Stanford University","USA"
"Edward","Tatum","United States","Rockefeller Institute for Medical Research","USA"
"George D.","Snell","United States","Jackson Laboratory","USA"
"Arthur","Kornberg","United States","Stanford University","USA"
"Burton","Richter","United States","Stanford Linear Accelerator Center","USA"
"Irving","Langmuir","United States","General Electric Company","USA"
"Irwin","Rose","United States","University of California","USA"
"Louis J.","Ignarro","United States","University of California School of Medicine","USA"
"Milton","Friedman","United States","University of Chicago","USA"
"Robert M.","Solow","United States","Massachusetts Institute of Technology (MIT)","USA"
"Stanley","Cohen","United States","Vanderbilt University School of Medicine","USA"
"Earl W.","Sutherland Jr.","United States","Vanderbilt University","USA"
"Roderick","MacKinnon","United States","Rockefeller University","USA"
"Douglass C.","North","United States","Washington University","USA"
"Lloyd S.","Shapley","United States","University of California","USA"
"Percy W.","Bridgman","United States","Harvard University","USA"
"James B.","Sumner","United States","Cornell University","USA"
"Ernest","Lawrence","United States","University of California","USA"
"Jane","Addams","United States","nan","nan"
"Saul","Perlmutter","United States","Lawrence Berkeley National Laboratory","USA"
"James","Tobin","United States","Yale University","USA"
"Robert F.","Furchgott","United States","SUNY Health Science Center","USA"
"Donald J.","Cram","United States","University of California","USA"
"Ben R.","Mottelson","United States","Nordita","Denmark"
"Bruce A.","Beutler","United States","University of Texas Southwestern Medical Center at Dallas","USA"
"Douglas","Diamond","United States","University of Chicago","USA"
"H. Robert","Horvitz","United States","Massachusetts Institute of Technology (MIT)","USA"
"Harry M.","Markowitz","United States","City University of New York","USA"
"James","Cronin","United States","University of Chicago","USA"
"James","Watson","United States","Harvard University","USA"
"James J.","Heckman","United States","University of Chicago","USA"
